orb_index = 63, gpp_a = 0
orb_index = 64, gpp_a = 0
orb_index = 65, gpp_a = 0
orb_index = 66, gpp_a = 0
orb_index = 67, gpp_a = 0
orb_index = 68, gpp_a = 0
orb_index = 69, gpp_a = 0
orb_index = 70, gpp_a = 0
orb_index = 71, gpp_a = 0
orb_index = 72, gpp_a = 0
orb_index = 73, gpp_a = 0
orb_index = 74, gpp_a = 0
orb_index = 75, gpp_a = 0
orb_index = 76, gpp_a = 0
orb_index = 77, gpp_a = 0
orb_index = 78, gpp_a = 0
orb_index = 79, gpp_a = 0
orb_index = 80, gpp_a = 0
orb_index = 81, gpp_a = 0
orb_index = 82, gpp_a = 0
orb_index = 83, gpp_a = 0
orb_index = 84, gpp_a = 0
w = -19.999, A_a =  290.668608903
 orb_index = 0, gpp_a = 0.942239
orb_index = 1, gpp_a = 0.977407
orb_index = 2, gpp_a = 1.25766
orb_index = 3, gpp_a = 1.93152
orb_index = 4, gpp_a = 18.7635
orb_index = 5, gpp_a = 13.4428
orb_index = 6, gpp_a = 21.3266
orb_index = 7, gpp_a = 21.1948
orb_index = 8, gpp_a = 23.8492
orb_index = 9, gpp_a = 45.668
orb_index = 10, gpp_a = 79.3893
orb_index = 11, gpp_a = 32.2618
orb_index = 12, gpp_a = 14.8867
orb_index = 13, gpp_a = 8.50641
orb_index = 14, gpp_a = 4.74081
orb_index = 15, gpp_a = 3.63392
orb_index = 16, gpp_a = 1.07857
orb_index = 17, gpp_a = 2.90934e-05
orb_index = 18, gpp_a = 2.90855e-05
orb_index = 19, gpp_a = 2.91077e-05
orb_index = 20, gpp_a = 2.9159e-05
orb_index = 21, gpp_a = 3.25283e-05
orb_index = 22, gpp_a = 3.2836e-05
orb_index = 23, gpp_a = 2.98637e-05
orb_index = 24, gpp_a = 3.10189e-05
orb_index = 25, gpp_a = 3.07351e-05
orb_index = 26, gpp_a = 3.13082e-05
orb_index = 27, gpp_a = 3.09858e-05
orb_index = 28, gpp_a = 3.01393e-05
orb_index = 29, gpp_a = 3.06027e-05
orb_index = 30, gpp_a = 2.83082e-05
orb_index = 31, gpp_a = 2.82151e-05
orb_index = 32, gpp_a = 2.8204e-05
orb_index = 33, gpp_a = 2.81772e-05
orb_index = 34, gpp_a = 2.66872e-05
orb_index = 35, gpp_a = 2.66795e-05
orb_index = 36, gpp_a = 2.66492e-05
orb_index = 37, gpp_a = 2.66094e-05
orb_index = 38, gpp_a = 2.66457e-05
orb_index = 39, gpp_a = 2.66455e-05
orb_index = 40, gpp_a = 2.66364e-05
orb_index = 41, gpp_a = 2.65719e-05
orb_index = 42, gpp_a = 2.65494e-05
orb_index = 43, gpp_a = 0
orb_index = 44, gpp_a = 0
orb_index = 45, gpp_a = 0
orb_index = 46, gpp_a = 0
orb_index = 47, gpp_a = 0
orb_index = 48, gpp_a = 0
orb_index = 49, gpp_a = 0
orb_index = 50, gpp_a = 0
orb_index = 51, gpp_a = 0
orb_index = 52, gpp_a = 0
orb_index = 53, gpp_a = 0
orb_index = 54, gpp_a = 0
orb_index = 55, gpp_a = 0
orb_index = 56, gpp_a = 0
orb_index = 57, gpp_a = 0
orb_index = 58, gpp_a = 0
orb_index = 59, gpp_a = 0
orb_index = 60, gpp_a = 0
orb_index = 61, gpp_a = 0
orb_index = 62, gpp_a = 0
orb_index = 63, gpp_a = 0
orb_index = 64, gpp_a = 0
orb_index = 65, gpp_a = 0
orb_index = 66, gpp_a = 0
orb_index = 67, gpp_a = 0
orb_index = 68, gpp_a = 0
orb_index = 69, gpp_a = 0
orb_index = 70, gpp_a = 0
orb_index = 71, gpp_a = 0
orb_index = 72, gpp_a = 0
orb_index = 73, gpp_a = 0
orb_index = 74, gpp_a = 0
orb_index = 75, gpp_a = 0
orb_index = 76, gpp_a = 0
orb_index = 77, gpp_a = 0
orb_index = 78, gpp_a = 0
orb_index = 79, gpp_a = 0
orb_index = 80, gpp_a = 0
orb_index = 81, gpp_a = 0
orb_index = 82, gpp_a = 0
orb_index = 83, gpp_a = 0
orb_index = 84, gpp_a = 0
w = -20, A_a =  293.852022247
 orb_index = 0, gpp_a = 0.904828
orb_index = 1, gpp_a = 0.937911
orb_index = 2, gpp_a = 1.20032
orb_index = 3, gpp_a = 1.82359
orb_index = 4, gpp_a = 16.0111
orb_index = 5, gpp_a = 11.6947
orb_index = 6, gpp_a = 18.0661
orb_index = 7, gpp_a = 17.9637
orb_index = 8, gpp_a = 20.0796
orb_index = 9, gpp_a = 37.4779
orb_index = 10, gpp_a = 85.373
orb_index = 11, gpp_a = 39.2032
orb_index = 12, gpp_a = 17.3722
orb_index = 13, gpp_a = 9.60343
orb_index = 14, gpp_a = 5.19895
orb_index = 15, gpp_a = 3.941
orb_index = 16, gpp_a = 1.12778
orb_index = 17, gpp_a = 2.90816e-05
orb_index = 18, gpp_a = 2.90726e-05
orb_index = 19, gpp_a = 2.90902e-05
orb_index = 20, gpp_a = 2.91651e-05
orb_index = 21, gpp_a = 3.22581e-05
orb_index = 22, gpp_a = 3.25087e-05
orb_index = 23, gpp_a = 2.97383e-05
orb_index = 24, gpp_a = 3.10906e-05
orb_index = 25, gpp_a = 3.08046e-05
orb_index = 26, gpp_a = 3.13558e-05
orb_index = 27, gpp_a = 3.07327e-05
orb_index = 28, gpp_a = 3.0434e-05
orb_index = 29, gpp_a = 3.08583e-05
orb_index = 30, gpp_a = 2.83155e-05
orb_index = 31, gpp_a = 2.82169e-05
orb_index = 32, gpp_a = 2.82019e-05
orb_index = 33, gpp_a = 2.81835e-05
orb_index = 34, gpp_a = 2.66927e-05
orb_index = 35, gpp_a = 2.66851e-05
orb_index = 36, gpp_a = 2.66547e-05
orb_index = 37, gpp_a = 2.6615e-05
orb_index = 38, gpp_a = 2.66513e-05
orb_index = 39, gpp_a = 2.66509e-05
orb_index = 40, gpp_a = 2.66423e-05
orb_index = 41, gpp_a = 2.65772e-05
orb_index = 42, gpp_a = 2.65547e-05
orb_index = 43, gpp_a = 0
orb_index = 44, gpp_a = 0
orb_index = 45, gpp_a = 0
orb_index = 46, gpp_a = 0
orb_index = 47, gpp_a = 0
orb_index = 48, gpp_a = 0
orb_index = 49, gpp_a = 0
orb_index = 50, gpp_a = 0
orb_index = 51, gpp_a = 0
orb_index = 52, gpp_a = 0
orb_index = 53, gpp_a = 0
orb_index = 54, gpp_a = 0
orb_index = 55, gpp_a = 0
orb_index = 56, gpp_a = 0
orb_index = 57, gpp_a = 0
orb_index = 58, gpp_a = 0
orb_index = 59, gpp_a = 0
orb_index = 60, gpp_a = 0
orb_index = 61, gpp_a = 0
orb_index = 62, gpp_a = 0
orb_index = 63, gpp_a = 0
orb_index = 64, gpp_a = 0
orb_index = 65, gpp_a = 0
orb_index = 66, gpp_a = 0
orb_index = 67, gpp_a = 0
orb_index = 68, gpp_a = 0
orb_index = 69, gpp_a = 0
orb_index = 70, gpp_a = 0
orb_index = 71, gpp_a = 0
orb_index = 72, gpp_a = 0
orb_index = 73, gpp_a = 0
orb_index = 74, gpp_a = 0
orb_index = 75, gpp_a = 0
orb_index = 76, gpp_a = 0
orb_index = 77, gpp_a = 0
orb_index = 78, gpp_a = 0
orb_index = 79, gpp_a = 0
orb_index = 80, gpp_a = 0
orb_index = 81, gpp_a = 0
orb_index = 82, gpp_a = 0
orb_index = 83, gpp_a = 0
orb_index = 84, gpp_a = 0
w = -19.998, A_a =  287.980135733
 orb_index = 0, gpp_a = 0.88695
orb_index = 1, gpp_a = 0.919051
