orb_index = 7, gpp_a = 0.00940312
orb_index = 8, gpp_a = 0.00937459
orb_index = 9, gpp_a = 0.00923413
orb_index = 10, gpp_a = 0.0089512
orb_index = 11, gpp_a = 0.00877528
orb_index = 12, gpp_a = 0.0086095
orb_index = 13, gpp_a = 0.00849208
orb_index = 14, gpp_a = 0.00830514
orb_index = 15, gpp_a = 0.00820483
orb_index = 16, gpp_a = 0.0075487
orb_index = 17, gpp_a = 2.59761e-05
orb_index = 18, gpp_a = 2.59671e-05
orb_index = 19, gpp_a = 2.59409e-05
orb_index = 20, gpp_a = 2.59008e-05
orb_index = 21, gpp_a = 2.58739e-05
orb_index = 22, gpp_a = 2.58487e-05
orb_index = 23, gpp_a = 2.57485e-05
orb_index = 24, gpp_a = 2.57394e-05
orb_index = 25, gpp_a = 2.57418e-05
orb_index = 26, gpp_a = 2.57249e-05
orb_index = 27, gpp_a = 2.56962e-05
orb_index = 28, gpp_a = 2.56838e-05
orb_index = 29, gpp_a = 2.56765e-05
orb_index = 30, gpp_a = 2.56077e-05
orb_index = 31, gpp_a = 2.55698e-05
orb_index = 32, gpp_a = 2.5553e-05
orb_index = 33, gpp_a = 2.54637e-05
orb_index = 34, gpp_a = 2.41358e-05
orb_index = 35, gpp_a = 2.41295e-05
orb_index = 36, gpp_a = 2.41034e-05
orb_index = 37, gpp_a = 2.4069e-05
orb_index = 38, gpp_a = 2.4102e-05
orb_index = 39, gpp_a = 2.40996e-05
orb_index = 40, gpp_a = 2.40911e-05
orb_index = 41, gpp_a = 2.40365e-05
orb_index = 42, gpp_a = 2.40155e-05
orb_index = 43, gpp_a = 0
orb_index = 44, gpp_a = 0
orb_index = 45, gpp_a = 0
orb_index = 46, gpp_a = 0
orb_index = 47, gpp_a = 0
orb_index = 48, gpp_a = 0
orb_index = 49, gpp_a = 0
orb_index = 50, gpp_a = 0
orb_index = 51, gpp_a = 0
orb_index = 52, gpp_a = 0
orb_index = 53, gpp_a = 0
orb_index = 54, gpp_a = 0
orb_index = 55, gpp_a = 0
orb_index = 56, gpp_a = 0
orb_index = 57, gpp_a = 0
orb_index = 58, gpp_a = 0
orb_index = 59, gpp_a = 0
orb_index = 60, gpp_a = 0
