-19.975 266.870057379	  0.597239	0.614916	0.749301	1.03577	4.28901	3.59144	4.58758	4.58055	4.86868	6.80952	14.9085	35.8815	79.3852	66.3801	22.749	13.7885	2.05264
-19.974 265.206775654	 0.587608	0.604857	0.735794	1.01389	4.11011	3.45371	4.39027	4.38401	4.65386	6.46007	13.847	32.5679	74.7492	71.835	24.854	14.8426	2.11618
-19.973 263.46888699	 0.578208	0.595043	0.722648	0.99269	3.94201	3.32366	4.20522	4.19965	4.45271	6.13619	12.8887	29.6134	69.5055	76.8983	27.2188	16.0127	2.18269
-19.972 261.631525719	 0.569031	0.585465	0.709849	0.972147	3.78386	3.20072	4.03144	4.0265	4.26411	5.83552	12.0215	26.9836	64.0014	81.2022	29.8766	17.3146	2.25236
-19.971 259.593228685	 0.560071	0.576115	0.697387	0.952234	3.6349	3.08441	3.86806	3.86368	4.08705	5.55593	11.2347	24.6436	58.5138	84.3664	32.8622	18.7665	2.32539
-19.97 257.236187922	 0.55132	0.566988	0.68525	0.932924	3.49445	2.97424	3.71426	3.71039	3.92063	5.29554	10.5193	22.5606	53.2387	86.0694	36.2103	20.3892	2.40198
-19.969 254.505520835	 0.542772	0.558075	0.673425	0.914193	3.36189	2.86981	3.56934	3.56593	3.76402	5.05268	9.86735	20.7041	48.2982	86.1224	39.9516	22.2065	2.48239
-19.968 251.4688609	 0.534421	0.54937	0.661904	0.896019	3.23663	2.77073	3.43262	3.42963	3.61648	4.82584	9.27185	19.047	43.7558	84.5195	44.1084	24.245	2.56686
-19.967 248.326415759	 0.526261	0.540867	0.650675	0.87838	3.11816	2.67664	3.30351	3.3009	3.47733	4.61366	8.72675	17.5649	39.633	81.4388	48.6856	26.5345	2.65567
-19.966 245.366575697	 0.518286	0.53256	0.639728	0.861256	3.006	2.58721	3.18146	3.17919	3.34595	4.41493	8.22673	16.2366	35.9235	77.1957	53.66	29.1077	2.74912
-19.965 242.887280124	 0.510491	0.524442	0.629055	0.844625	2.89972	2.50215	3.06597	3.06402	3.22179	4.22856	7.76714	15.0433	32.6047	72.1688	58.9653	31.9989	2.84753
-19.964 241.113469481	 0.502869	0.516508	0.618646	0.82847	2.79891	2.42118	2.95658	2.95492	3.10434	4.05356	7.34387	13.9688	29.6455	66.7287	64.4755	35.2431	2.95125
-19.963 240.134836506	 0.495417	0.508752	0.608493	0.812773	2.70322	2.34404	2.85289	2.85148	2.99312	3.88904	6.95331	12.999	27.0114	61.1879	69.9898	38.8727	3.06068
-19.962 239.876068961	 0.488129	0.50117	0.598587	0.797516	2.6123	2.27049	2.7545	2.75332	2.8877	3.73419	6.59227	12.1216	24.6677	55.7803	75.2265	42.913	3.17622
-19.961 240.103022523	 0.481001	0.493755	0.588921	0.782684	2.52585	2.20033	2.66106	2.6601	2.78769	3.58829	6.25794	11.3258	22.5813	50.6605	79.8341	47.3746	3.29835
-19.96 240.463296876	 0.474027	0.486503	0.579486	0.768261	2.44358	2.13334	2.57224	2.57148	2.69274	3.45065	5.94782	10.6024	20.722	45.9171	83.4298	52.2436	3.42755
-19.959 240.553350696	 0.467203	0.47941	0.570276	0.754231	2.36523	2.06934	2.48776	2.48718	2.60251	3.32068	5.65967	9.94332	19.0623	41.5889	85.663	57.4672	3.56438
-19.958 239.994057141	 0.460526	0.47247	0.561283	0.740581	2.29056	2.00816	2.40734	2.40691	2.5167	3.19783	5.39152	9.34145	17.578	37.6808	86.292	62.9376	3.70945
