-19.825 11.8976223673	 5.44122	4.63344	0.778371	0.552642	0.491536
-19.824 12.4137054174	 5.7124	4.84721	0.793197	0.561508	0.498982
-19.823 12.965653738	 6.00382	5.07579	0.80845	0.57059	0.506598
-19.822 13.5568670253	 6.31748	5.32054	0.824145	0.579893	0.514389
-19.821 14.1911485047	 6.65565	5.583	0.8403	0.589425	0.522362
-19.82 14.8727617037	 7.02085	5.86485	0.856933	0.599193	0.53052
-19.819 15.6064962794	 7.41593	6.16801	0.874063	0.609205	0.538871
-19.818 16.3977444664	 7.84411	6.49461	0.89171	0.61947	0.54742
-19.817 17.2525899734	 8.30905	6.84705	0.909895	0.629996	0.556173
-19.816 18.1779114695	 8.81489	7.22803	0.928639	0.640792	0.565138
-19.815 19.1815031427	 9.36633	7.64059	0.947967	0.651866	0.574321
-19.814 20.2722151867	 9.96873	8.0882	0.967902	0.66323	0.583728
-19.813 21.4601174581	 10.6282	8.57475	0.98847	0.674893	0.593369
-19.812 22.7566899168	 11.3518	9.10469	1.0097	0.686865	0.603249
-19.811 24.1750437502	 12.1474	9.68307	1.03161	0.699157	0.613378
-19.81 25.7301772	 13.0243	10.3157	1.05425	0.711782	0.623764
-19.809 27.4392698821	 13.993	11.009	1.07763	0.724751	0.634414
-19.808 29.3220185496	 15.0657	11.7707	1.1018	0.738076	0.645339
-19.807 31.401015357	 16.2561	12.6093	1.12678	0.751771	0.656548
-19.806 33.7021660585	 17.5803	13.5349	1.15263	0.765849	0.668051
-19.805 36.2551391366	 19.0565	14.5586	1.17936	0.780326	0.679858
-19.804 39.0938259821	 20.7055	15.6937	1.20703	0.795215	0.69198
-19.803 42.2567744745	 22.5506	16.955	1.23569	0.810533	0.704428
-19.802 45.7875300859	 24.6183	18.3599	1.26537	0.826297	0.717214
-19.801 49.7347749649	 26.9375	19.9278	1.29612	0.842523	0.73035
-19.8 54.1520898831	 29.5395	21.681	1.32801	0.859231	0.743849
-19.799 59.0970689877	 32.4567	23.6446	1.36108	0.876438	0.757725
-19.798 64.6293867269	 35.7209	25.8464	1.39539	0.894166	0.771992
-19.797 70.807250492	 39.3597	28.3169	1.43101	0.912435	0.786664
-19.796 77.6814901921	 43.3919	31.088	1.46801	0.931268	0.801757
-19.795 85.2863956157	 47.8191	34.1923	1.50644	0.950687	0.817287
-19.794 93.6264440257	 52.6156	37.6598	1.5464	0.970718	0.833271
-19.793 102.658497383	 57.7146	41.5143	1.58796	0.991386	0.849727
-19.792 112.270220121	 62.9929	45.7661	1.6312	1.01272	0.866673
