orb_index = 13, gpp_a = 2.68861e-05
orb_index = 14, gpp_a = 2.68195e-05
orb_index = 15, gpp_a = 2.68853e-05
orb_index = 16, gpp_a = 2.68022e-05
orb_index = 17, gpp_a = 2.66342e-05
orb_index = 18, gpp_a = 2.65652e-05
orb_index = 19, gpp_a = 1.3628e-08
orb_index = 20, gpp_a = 5.0488e-09
orb_index = 21, gpp_a = 1.34683e-07
orb_index = 22, gpp_a = 3.75269e-09
orb_index = 23, gpp_a = 1.42366e-10
orb_index = 24, gpp_a = 1.45555e-11
w = -19.861, A_a =  4.0228782503
 orb_index = 0, gpp_a = 1.58148
orb_index = 1, gpp_a = 1.44449
orb_index = 2, gpp_a = 0.440659
orb_index = 3, gpp_a = 0.338546
orb_index = 4, gpp_a = 0.308488
orb_index = 5, gpp_a = 3.20296e-05
orb_index = 6, gpp_a = 3.18212e-05
orb_index = 7, gpp_a = 2.99134e-05
orb_index = 8, gpp_a = 2.95987e-05
orb_index = 9, gpp_a = 2.95238e-05
orb_index = 10, gpp_a = 2.7064e-05
orb_index = 11, gpp_a = 2.70378e-05
orb_index = 12, gpp_a = 2.70065e-05
orb_index = 13, gpp_a = 2.6889e-05
orb_index = 14, gpp_a = 2.68223e-05
orb_index = 15, gpp_a = 2.68912e-05
orb_index = 16, gpp_a = 2.6809e-05
orb_index = 17, gpp_a = 2.66383e-05
orb_index = 18, gpp_a = 2.65684e-05
orb_index = 19, gpp_a = 1.37952e-08
orb_index = 20, gpp_a = 5.11116e-09
orb_index = 21, gpp_a = 1.36669e-07
orb_index = 22, gpp_a = 3.82481e-09
orb_index = 23, gpp_a = 1.45747e-10
orb_index = 24, gpp_a = 1.56112e-11
w = -19.86, A_a =  4.11406381528
 orb_index = 0, gpp_a = 0.460295
orb_index = 1, gpp_a = 0.437771
orb_index = 2, gpp_a = 0.208573
orb_index = 3, gpp_a = 0.173262
orb_index = 4, gpp_a = 0.161908
orb_index = 5, gpp_a = 2.9821e-05
orb_index = 6, gpp_a = 2.97882e-05
orb_index = 7, gpp_a = 2.92625e-05
orb_index = 8, gpp_a = 2.90861e-05
orb_index = 9, gpp_a = 2.90436e-05
orb_index = 10, gpp_a = 2.68828e-05
orb_index = 11, gpp_a = 2.68568e-05
orb_index = 12, gpp_a = 2.68192e-05
orb_index = 13, gpp_a = 2.67072e-05
orb_index = 14, gpp_a = 2.66422e-05
orb_index = 15, gpp_a = 2.6625e-05
orb_index = 16, gpp_a = 2.65201e-05
orb_index = 17, gpp_a = 2.64206e-05
orb_index = 18, gpp_a = 2.63768e-05
orb_index = 19, gpp_a = 7.16211e-09
orb_index = 20, gpp_a = 2.65197e-09
orb_index = 21, gpp_a = 6.47086e-08
orb_index = 22, gpp_a = 9.93747e-10
orb_index = 23, gpp_a = 2.88359e-11
orb_index = 24, gpp_a = -1.58012e-11
w = -19.924, A_a =  1.4421957894
 orb_index = 0, gpp_a = 3.63696
orb_index = 1, gpp_a = 4.18696
orb_index = 2, gpp_a = 19.5418
orb_index = 3, gpp_a = 5.55381
orb_index = 4, gpp_a = 3.96603
orb_index = 5, gpp_a = 3.66484e-05
orb_index = 6, gpp_a = 3.73835e-05
orb_index = 7, gpp_a = 6.27068e-05
orb_index = 8, gpp_a = 4.02478e-05
orb_index = 9, gpp_a = 3.75409e-05
orb_index = 10, gpp_a = 2.74148e-05
orb_index = 11, gpp_a = 2.73887e-05
orb_index = 12, gpp_a = 2.7371e-05
orb_index = 13, gpp_a = 2.73017e-05
orb_index = 14, gpp_a = 2.71937e-05
orb_index = 15, gpp_a = 2.81701e-05
orb_index = 16, gpp_a = 2.7415e-05
orb_index = 17, gpp_a = 2.7881e-05
orb_index = 18, gpp_a = 2.73708e-05
orb_index = 19, gpp_a = 2.12823e-07
orb_index = 20, gpp_a = 6.94412e-08
orb_index = 21, gpp_a = 2.91033e-06
orb_index = 22, gpp_a = 8.52374e-08
